8481,　,00,00,00,00,00,00,00,00
8482,、,00,00,00,00,00,80,40,00
8483,。,00,00,00,00,40,a0,40,00
8484,，,00,00,00,00,c0,40,80,00
8485,．,00,00,00,00,00,c0,c0,00
8486,・,00,00,00,30,30,00,00,00
8487,：,00,30,30,00,30,30,00,00
8488,；,00,30,30,00,30,10,20,00
8489,？,3c,42,62,0c,10,00,10,00
8490,！,10,10,10,10,10,00,10,00
8491,゛,a0,50,00,00,00,00,00,00
8492,゜,40,a0,40,00,00,00,00,00
8493,´,08,10,00,00,00,00,00,00
8494,｀,20,10,00,00,00,00,00,00
8495,¨,28,00,00,00,00,00,00,00
8496,＾,10,28,00,00,00,00,00,00
8497,￣,fe,00,00,00,00,00,00,00
8498,＿,00,00,00,00,00,00,fe,00
8499,ヽ,00,00,20,10,08,08,00,00
8500,ヾ,0a,00,20,10,08,08,00,00
8501,ゝ,00,20,20,18,0c,30,00,00
8502,ゞ,0a,20,20,18,0c,30,00,00
8503,〃,00,00,24,24,24,48,00,00
8504,仝,10,28,c6,7c,10,10,fe,00
8505,々,00,20,3c,24,c8,10,08,00
8506,〆,06,04,28,50,68,c0,80,00
8507,〇,00,38,44,82,82,44,38,00
8508,ー,00,00,00,be,40,00,00,00
8509,—,00,00,00,ff,00,00,00,00
8510,‐,00,00,00,38,00,00,00,00
8511,／,02,04,08,10,20,40,80,00
8512,＼,80,40,20,10,08,04,02,00
8513,〜,00,00,60,92,0c,00,00,00
8514,‖,28,28,28,28,28,28,28,00
8515,｜,10,10,10,10,10,10,10,00
8516,…,00,00,00,92,00,00,00,00
8517,‥,00,00,00,44,00,00,00,00
8518,‘,02,04,06,00,00,00,00,00
8519,’,c0,40,80,00,00,00,00,00
8520,“,12,24,36,00,00,00,00,00
8521,”,d8,48,90,00,00,00,00,00
8522,（,02,04,08,08,08,04,02,00
8523,）,80,40,20,20,20,40,80,00
8524,〔,06,18,10,10,10,18,06,00
8525,〕,c0,30,10,10,10,30,c0,00
8526,［,0e,08,08,08,08,08,0e,00
8527,］,e0,20,20,20,20,20,e0,00
8528,｛,06,08,08,10,08,08,06,00
8529,｝,c0,20,20,10,20,20,c0,00
8530,〈,02,04,08,10,08,04,02,00
8531,〉,80,40,20,10,20,40,80,00
8532,《,0a,14,28,50,28,14,0a,00
8533,》,a0,50,28,14,28,50,a0,00
8534,「,1e,10,10,10,10,10,00,00
8535,」,00,10,10,10,10,10,f0,00
8536,『,3e,22,2e,28,28,38,00,00
8537,』,00,38,28,28,e8,88,f8,00
8538,【,0e,0c,08,08,08,0c,0e,00
8539,】,e0,60,20,20,20,60,e0,00
8540,＋,10,10,10,fe,10,10,10,00
8541,−,00,00,00,fe,00,00,00,00
8542,±,10,10,fe,10,10,00,fe,00
8543,×,82,44,28,10,28,44,82,00
8544,÷,00,10,00,fe,00,10,00,00
8545,＝,00,00,fe,00,fe,00,00,00
8546,≠,00,04,fe,10,fe,40,00,00
8547,＜,00,06,38,c0,38,06,00,00
8548,＞,00,c0,38,06,38,c0,00,00
8549,≦,06,38,c0,38,06,00,fe,00
8550,≧,c0,38,06,38,c0,00,fe,00
8551,∞,00,6c,92,92,92,6c,00,00
8552,∴,00,10,00,00,00,44,00,00
8553,♂,1e,06,0a,72,90,90,60,00
8554,♀,38,44,44,38,10,7c,10,00
8555,°,40,a0,40,00,00,00,00,00
8556,′,40,40,80,00,00,00,00,00
8557,″,50,50,a0,00,00,00,00,00
8558,℃,40,ac,52,10,10,12,0c,00
8559,￥,ee,44,28,7c,10,7c,10,00
8560,＄,10,3c,50,3c,12,7c,10,00
8561,¢,04,3c,4a,48,52,3c,20,00
8562,£,18,24,70,20,60,92,6c,00
8563,％,42,a4,48,10,24,4a,84,00
8564,＃,14,7e,28,28,28,fc,50,00
8565,＆,30,50,50,26,54,88,76,00
8566,＊,10,d6,7c,10,7c,d6,10,00
8567,＠,38,44,9a,aa,b4,40,38,00
8568,§,1c,20,18,24,18,04,38,00
8569,☆,10,10,fe,28,38,6c,44,00
8570,★,10,10,fe,38,38,6c,44,00
8571,○,38,44,82,82,82,44,38,00
8572,●,38,7c,fe,fe,fe,7c,38,00
8573,◎,38,44,ba,aa,ba,44,38,00
8574,◇,10,28,44,82,44,28,10,00
8737,◆,10,38,7c,fe,7c,38,10,00
8738,□,fe,82,82,82,82,82,fe,00
8739,■,fe,fe,fe,fe,fe,fe,fe,00
8740,△,10,10,28,28,44,44,fe,00
8741,▲,10,10,38,38,7c,7c,fe,00
8742,▽,fe,44,44,28,28,10,10,00
8743,▼,fe,7c,7c,38,38,10,10,00
8744,※,92,44,28,92,28,44,92,00
8745,〒,fe,00,fe,10,10,10,10,00
8746,→,00,08,04,fe,04,08,00,00
8747,←,00,20,40,fe,40,20,00,00
8748,↑,10,38,54,10,10,10,10,00
8749,↓,10,10,10,10,54,38,10,00
8750,〓,00,fe,fe,00,fe,fe,00,00
8762,∈,00,3e,40,7e,40,3e,00,00
8763,∋,00,7c,02,7e,02,7c,00,00
8764,⊆,3e,40,40,40,3e,00,7e,00
8765,⊇,7c,02,02,02,7c,00,7e,00
8766,⊂,00,3e,40,40,40,3e,00,00
8767,⊃,00,7c,02,02,02,7c,00,00
8768,∪,42,42,42,42,42,3c,00,00
8769,∩,00,3c,42,42,42,42,42,00
8778,∧,10,10,28,28,44,44,82,00
8779,∨,82,44,44,28,28,10,10,00
8780,¬,00,00,00,fe,02,02,00,00
8781,⇒,00,08,fc,02,fc,08,00,00
8782,⇔,00,28,7c,82,7c,28,00,00
8783,∀,82,82,7c,44,28,28,10,00
8784,∃,7e,02,02,7e,02,02,7e,00
8796,∠,00,02,04,08,10,20,7e,00
8797,⊥,00,10,10,10,10,10,fe,00
8798,⌒,7c,82,00,00,00,00,00,00
8799,∂,18,24,04,34,48,48,30,00
8800,∇,fe,c2,44,64,28,38,10,00
8801,≡,00,7e,00,7e,00,7e,00,00
8802,≒,40,00,fe,00,fe,00,04,00
8803,≪,00,24,48,90,48,24,00,00
8804,≫,00,48,24,12,24,48,00,00
8805,√,1e,10,20,20,e0,40,40,00
8806,∽,00,4c,92,92,92,64,00,00
8807,∝,00,6c,92,90,92,6c,00,00
8808,∵,00,44,00,00,00,10,00,00
8809,∫,18,28,20,10,08,28,30,00
8810,∬,36,5a,48,24,12,5a,6c,00
8818,Å,10,28,10,28,38,44,ee,00
8819,‰,44,a8,50,20,54,aa,14,00
8820,♯,04,26,3c,66,3c,64,20,00
8821,♭,20,20,28,34,24,28,30,00
8822,♪,10,18,14,14,30,70,60,00
8823,†,10,38,10,10,10,10,10,00
8824,‡,10,38,10,10,10,38,10,00
8825,¶,3c,74,74,34,14,14,14,00
8830,◯,7c,82,82,82,82,82,7c,00
9008,０,3c,42,42,42,42,42,3c,00
9009,１,10,30,10,10,10,10,38,00
9010,２,3c,42,02,04,18,22,7e,00
9011,３,3c,42,02,1c,02,42,3c,00
9012,４,04,0c,14,24,7e,04,0e,00
9013,５,7e,40,7c,42,02,42,3c,00
9014,６,1c,20,40,7c,42,42,3c,00
9015,７,7e,42,04,08,08,10,10,00
9016,８,3c,42,42,3c,42,42,3c,00
9017,９,3c,42,42,3e,02,04,38,00
9025,Ａ,10,10,28,28,7c,44,ee,00
9026,Ｂ,7c,22,22,3c,22,22,7c,00
9027,Ｃ,1a,26,40,40,40,22,1c,00
9028,Ｄ,78,24,22,22,22,24,78,00
9029,Ｅ,7e,22,28,38,28,22,7e,00
9030,Ｆ,7e,22,28,38,28,20,70,00
9031,Ｇ,1a,26,40,4e,42,22,1c,00
9032,Ｈ,ee,44,44,7c,44,44,ee,00
9033,Ｉ,38,10,10,10,10,10,38,00
9034,Ｊ,1c,08,08,08,08,48,30,00
9035,Ｋ,ec,48,50,70,48,44,ee,00
9036,Ｌ,70,20,20,20,20,22,7e,00
9037,Ｍ,c6,44,6c,54,54,44,ee,00
9038,Ｎ,ce,44,64,54,4c,44,e4,00
9039,Ｏ,18,24,42,42,42,24,18,00
9040,Ｐ,7c,22,22,3c,20,20,70,00
9041,Ｑ,18,24,42,42,5a,24,1a,00
9042,Ｒ,f8,44,44,78,48,44,e6,00
9043,Ｓ,3a,46,40,3c,02,62,5c,00
9044,Ｔ,fe,92,10,10,10,10,38,00
9045,Ｕ,ee,44,44,44,44,44,38,00
9046,Ｖ,ee,44,44,28,28,10,10,00
9047,Ｗ,ee,44,54,54,28,28,28,00
9048,Ｘ,ee,44,28,10,28,44,ee,00
9049,Ｙ,ee,44,28,10,10,10,38,00
9050,Ｚ,7e,44,08,10,20,42,7e,00
9057,ａ,00,00,38,04,3c,44,3a,00
9058,ｂ,60,20,38,24,24,24,38,00
9059,ｃ,00,00,38,44,40,44,38,00
9060,ｄ,18,08,38,48,48,48,34,00
9061,ｅ,00,00,38,44,7c,40,38,00
9062,ｆ,0c,10,38,10,10,10,38,00
9063,ｇ,00,00,3c,48,38,08,30,00
9064,ｈ,60,20,38,24,24,24,76,00
9065,ｉ,10,00,30,10,10,10,38,00
9066,ｊ,08,00,18,08,08,48,30,00
9067,ｋ,60,20,2c,28,38,24,76,00
9068,ｌ,30,10,10,10,10,10,38,00
9069,ｍ,00,00,e8,54,54,54,d6,00
9070,ｎ,00,00,78,24,24,24,76,00
9071,ｏ,00,00,38,44,44,44,38,00
